country,state,N,P,K,temperature,humidity,ph,rainfall,soil_type,label
India,Telangana,83,35,43,25.33,80.78,5.63,202.11,Alluvial,Rice
India,Telangana,94,39,35,24.33,84.63,6.61,209.99,Alluvial,Rice
India,Maharashtra,72,37,41,20.68,81.22,6.46,235.22,Alluvial,Rice
India,Telangana,76,46,45,26.33,84.24,6.74,212.17,Alluvial,Rice
India,Punjab,88,49,36,20.9,80.37,5.73,237.87,Alluvial,Rice
India,West Bengal,99,40,39,24.46,83.42,6.91,198.92,Alluvial,Rice
India,Tamil Nadu,95,47,42,20.26,81.11,6.64,187.27,Alluvial,Rice
India,Andhra Pradesh,80,38,42,22.58,84.3,5.6,240.93,Alluvial,Rice
India,Maharashtra,88,35,39,20.29,82.73,5.6,198.74,Alluvial,Rice
India,Rajasthan,79,46,40,26.09,83.79,6.09,180.78,Alluvial,Rice
India,Gujarat,82,43,40,24.15,80.06,6.89,207.28,Alluvial,Rice
India,Gujarat,75,47,42,24.66,80.98,6.98,199.58,Alluvial,Rice
India,Punjab,80,46,42,21.94,82.38,6.56,232.0,Alluvial,Rice
India,Maharashtra,74,35,38,21.5,83.86,5.68,211.66,Alluvial,Rice
India,Maharashtra,82,41,43,26.52,80.97,6.55,216.2,Alluvial,Rice
India,Uttar Pradesh,87,47,45,23.54,81.45,6.2,187.59,Alluvial,Rice
India,Punjab,90,43,37,26.92,80.18,6.95,205.87,Alluvial,Rice
India,Uttar Pradesh,91,45,41,25.48,84.7,6.89,190.9,Alluvial,Rice
India,Kerala,85,50,45,21.44,84.23,6.84,238.57,Alluvial,Rice
India,Andhra Pradesh,79,48,44,22.52,82.18,5.69,213.64,Alluvial,Rice
India,Rajasthan,80,42,43,22.44,81.78,6.91,183.28,Alluvial,Rice
India,Telangana,79,49,44,21.13,83.8,6.49,241.21,Alluvial,Rice
India,Uttar Pradesh,72,49,36,20.44,82.16,5.88,183.64,Alluvial,Rice
India,Uttar Pradesh,82,43,41,21.34,83.57,5.55,215.75,Alluvial,Rice
India,Gujarat,75,45,44,26.4,80.73,6.78,185.98,Alluvial,Rice
India,Gujarat,91,46,40,20.94,84.37,6.64,208.75,Alluvial,Rice
India,Punjab,104,36,45,21.14,83.1,6.03,226.68,Alluvial,Rice
India,Kerala,92,35,35,24.91,81.95,5.77,248.16,Alluvial,Rice
India,Punjab,97,43,43,24.31,82.3,6.95,232.68,Alluvial,Rice
India,Rajasthan,82,38,42,21.39,80.08,6.83,221.35,Alluvial,Rice
India,Telangana,85,46,44,26.14,83.81,6.73,233.36,Alluvial,Rice
India,Gujarat,83,42,44,25.42,80.93,6.04,224.24,Alluvial,Rice
India,Telangana,81,50,41,23.6,84.38,5.85,182.92,Alluvial,Rice
India,Kerala,93,40,44,23.99,83.21,6.83,209.07,Alluvial,Rice
India,Punjab,82,48,40,21.87,84.37,6.61,246.39,Alluvial,Rice
India,Telangana,78,48,40,22.69,83.93,6.66,240.81,Alluvial,Rice
India,West Bengal,93,36,43,23.26,82.61,6.46,235.76,Alluvial,Rice
India,Maharashtra,89,44,37,25.18,81.54,6.2,233.83,Alluvial,Rice
India,Punjab,91,39,45,23.14,83.18,5.88,191.92,Alluvial,Rice
India,Maharashtra,78,49,41,25.32,80.98,6.67,211.26,Alluvial,Rice
India,Uttar Pradesh,93,40,35,25.4,82.71,5.92,209.47,Alluvial,Rice
India,Maharashtra,89,40,37,24.1,84.72,6.58,217.88,Alluvial,Rice
India,Gujarat,73,39,38,26.36,80.93,6.6,235.78,Alluvial,Rice
India,Andhra Pradesh,80,39,45,21.24,82.1,5.8,229.24,Alluvial,Rice
India,Punjab,89,50,36,21.99,80.53,5.84,220.8,Alluvial,Rice
India,Kerala,85,37,45,21.46,83.6,5.67,238.59,Alluvial,Rice
India,West Bengal,101,35,42,25.18,82.41,6.85,231.08,Alluvial,Rice
India,Gujarat,80,40,40,21.2,83.91,6.84,193.76,Alluvial,Rice
India,Maharashtra,77,43,41,23.95,84.41,5.71,188.48,Alluvial,Rice
India,Gujarat,77,38,38,25.2,84.64,6.31,196.76,Alluvial,Rice
India,Maharashtra,85,39,36,24.92,84.52,6.86,240.38,Alluvial,Rice
India,Gujarat,74,35,38,21.1,83.89,6.1,217.28,Alluvial,Rice
India,Haryana,95,36,38,26.45,82.97,6.51,204.52,Alluvial,Rice
India,Gujarat,70,38,37,24.15,83.5,6.31,226.23,Alluvial,Rice
India,Haryana,104,38,35,20.2,80.3,6.28,227.14,Alluvial,Rice
India,Maharashtra,93,50,39,24.58,81.72,6.38,189.62,Alluvial,Rice
India,Tamil Nadu,80,35,42,22.7,84.55,6.51,240.67,Alluvial,Rice
India,Telangana,92,35,38,25.64,84.31,6.27,203.72,Alluvial,Rice
India,Maharashtra,95,42,43,26.49,84.08,6.7,244.86,Alluvial,Rice
India,West Bengal,102,41,42,26.76,80.43,5.84,185.73,Alluvial,Rice
India,Karnataka,86,41,43,20.58,84.11,6.38,241.0,Alluvial,Rice
India,Tamil Nadu,73,46,44,21.75,81.44,5.73,227.95,Alluvial,Rice
India,Rajasthan,80,50,37,25.43,80.83,5.94,182.99,Alluvial,Rice
India,Rajasthan,79,38,44,23.98,81.24,5.93,199.91,Alluvial,Rice
India,Maharashtra,76,44,35,23.08,82.74,6.53,212.37,Alluvial,Rice
India,Maharashtra,86,49,36,24.53,82.25,6.95,224.49,Alluvial,Rice
India,Andhra Pradesh,87,39,44,21.08,81.57,6.83,239.4,Alluvial,Rice
India,Karnataka,70,50,43,22.69,82.17,5.87,215.05,Alluvial,Rice
India,Tamil Nadu,90,35,45,23.36,84.15,5.76,217.18,Alluvial,Rice
India,Uttar Pradesh,73,37,38,21.76,83.28,7.0,249.17,Alluvial,Rice
India,Andhra Pradesh,78,39,45,26.33,83.73,6.65,194.03,Alluvial,Rice
India,Kerala,91,42,36,26.76,81.86,6.78,182.64,Alluvial,Rice
